instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,microsoft/Phi-mini-MoE-instruct,28,57,587870262,1757652334,1169782072,10563049,47119222,40095101,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,14,microsoft/Phi-mini-MoE-instruct,4,30,1601985365,2868932415,1266947050,37387935,77095163,47594075,"[39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,33,microsoft/Phi-mini-MoE-instruct,17,25,2833725503,3224570594,390845091,35206912,79606998,44462584,"[44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,40,microsoft/Phi-mini-MoE-instruct,536,538,3568927593,3782481488,213553895,67650359,162069642,51484253,[51484253],0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,0,microsoft/Phi-mini-MoE-instruct,94,537,46926808,17322596554,17275669746,0,34964807,39006119,"[31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 31928432, 34692238, 31606514, 31606514, 31606514, 35110472, 32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 34312688, 57681249, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 68298167, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 81405879, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 38915312, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984, 39695984]",0,0,0,SSD,0,125829120,0,125829120,125829120,125829120,1.0,hot,0,0,0,0,1.0,251658240
0,1,microsoft/Phi-mini-MoE-instruct,9,448,347938951,29286033504,28938094553,21308552,56000790,65940853,"[31606514, 31606514, 31606514, 35110472, 32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 32866418, 12312042520, 37686783, 37686783, 36745369, 36745369, 36745369, 36745369, 36745369, 32578887, 32578887, 32578887, 32578887, 32578887, 32242802, 32242802, 32242802, 49005537, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 62574604, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 36274160, 75021836, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848, 37764848]",0,0,0,SSD,0,115343360,0,115343360,115343360,115343360,1.0,hot,0,0,0,0,1.0,230686720
0,2,microsoft/Phi-mini-MoE-instruct,20,325,479613520,36136044488,35656430968,19145763,54256235,117112416,"[32281778, 32281778, 36556173, 35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 12542107446, 37686783, 37686783, 36745369, 36745369, 36745369, 36745369, 36745369, 32578887, 32578887, 32578887, 32578887, 32578887, 32242802, 32242802, 32242802, 11444817010, 49193074, 40591930, 33007538, 33007538, 33007538, 33007538, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 52260066, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 66201015, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 36274160, 36274160, 36274160, 36274160]",0,0,0,SSD,0,88080384,0,88080384,88080384,88080384,1.0,hot,0,0,0,0,1.0,176160768
0,3,microsoft/Phi-mini-MoE-instruct,26,244,570907775,39585268982,39014361207,27525536,64081709,179494375,"[35660214, 33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 12542107446, 37686783, 37686783, 36745369, 36745369, 36745369, 36745369, 36745369, 32578887, 32578887, 32578887, 32578887, 32578887, 11541545416, 49193074, 40591930, 33007538, 33007538, 33007538, 33007538, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 6322739362, 41652578, 36989136, 36989136, 36989136, 36989136, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33453746, 33453746, 33453746, 53658166, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688]",0,0,0,SSD,0,73400320,0,73400320,73400320,73400320,1.0,hot,0,0,0,0,1.0,146800640
0,5,microsoft/Phi-mini-MoE-instruct,11,374,604829891,47574632591,46969802700,30159593,65819807,129569013,"[33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 32578887, 32578887, 32578887, 12542107446, 37686783, 37686783, 36745369, 36745369, 36745369, 36745369, 36745369, 32578887, 32578887, 32578887, 32578887, 32578887, 11541545416, 49193074, 40591930, 33007538, 33007538, 33007538, 33007538, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 33453746, 6322739362, 41652578, 36989136, 36989136, 36989136, 36989136, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33453746, 33453746, 33453746, 2917245922, 48453466, 42806891, 36780256, 36780256, 36780256, 36780256, 36780256, 36780256, 36780256, 36780256, 35867729, 35867729, 35867729, 35867729, 35867729, 53658166, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 33085808, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 84093539, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594]",0,0,0,SSD,0,111149056,0,111149056,111149056,111149056,1.0,hot,0,0,0,0,1.0,222298112
0,6,microsoft/Phi-mini-MoE-instruct,11,289,610813767,50265716984,49654903217,24175717,59835931,179043564,"[33717439, 33717439, 33717439, 33717439, 33717439, 45210565, 34371044, 85939156, 35020441, 83820112, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 36370835, 38137062, 36687638, 36687638, 36687638, 38568439, 38039994, 39707228, 39964561, 38607245, 39671643, 42742616, 40759682, 39658538, 41076911, 41091261, 41116968, 58018078, 41969821, 41304397, 41304397, 41304397, 105426026, 42972901, 82002139, 53150645, 51974509, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 44400086, 44289192, 44289192, 44289192, 44289192, 44289192, 44289192, 45502941, 44289192, 44289192, 44289192, 46275158, 69634681, 45342486, 117887457, 94419283, 51484253, 46033913, 46033913, 46033913, 116647276, 48450737, 48060649, 48238537, 47665265, 48568485, 129603670, 48063261, 48063261, 48063261, 48063261, 51092442, 48453466, 48453466, 12639844107, 37686783, 37686783, 36745369, 36745369, 36745369, 36745369, 36745369, 32578887, 32578887, 32578887, 32578887, 32578887, 11541545416, 49193074, 40591930, 6755853228, 41652578, 36989136, 36989136, 36989136, 36989136, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33693521, 33453746, 33453746, 33453746, 2917245922, 48453466, 42806891, 36780256, 36780256, 36780256, 36780256, 36780256, 36780256, 36780256, 36780256, 35867729, 35867729, 35867729, 35867729, 35867729, 5044225705, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33462002, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 33908594, 60040754, 36389969, 36840528, 36840528, 36840528, 37838417, 37838417, 37838417, 37838417, 37838417, 72361313, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 34312688, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896, 35142896]",0,0,0,SSD,0,48234496,0,48234496,48234496,48234496,1.0,hot,0,0,0,0,1.0,96468992
