instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,harp_state_final,harp_stall_time_ns,harp_stall_events,harp_shadow_hit_tokens,harp_decode_tokens,harp_shadow_ratio,tier_transition_bytes_total
0,4,meta-llama/Llama-3.1-8B,27,55,587870262,1618421347,1030551085,4925957,33473580,36928796,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,14,meta-llama/Llama-3.1-8B,4,28,1601985365,2951140733,1349155368,16435982,43965212,56747398,"[285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,3,meta-llama/Llama-3.1-8B,26,209,570907775,6699183005,6128275230,21888444,50436067,33394720,"[26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325840203, 26520888, 26520888, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 99536023, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25160953, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,2,meta-llama/Llama-3.1-8B,19,263,479613520,8059710427,7580096907,13088220,39885292,31029677,"[24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325840203, 26520888, 26520888, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 24771925, 24771925, 24771925, 25220248, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25160953, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 26109885, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25975594, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,1,meta-llama/Llama-3.1-8B,9,342,347938951,10074801261,9726862310,19924492,46838713,29156697,"[24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 201673988, 26520888, 26520888, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 24771925, 24771925, 24771925, 25220248, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25160953, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 26109885, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25975594, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 26808618, 26349776, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 26133633, 25969703, 25969703, 25969703, 25969703, 25969703, 24996181, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25138869, 25138869, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 26151000, 25954302, 25954302, 25954302, 25954302, 25954302]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,6,meta-llama/Llama-3.1-8B,10,245,610813767,10467458963,9856645196,10530075,37332893,41962873,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325840203, 26520888, 26520888, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 99536023, 2021804347, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25975594, 401828800, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 26808618, 26349776, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 26133633, 25969703, 25969703, 25969703, 25969703, 25969703, 24996181, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25138869, 25138869, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 26151000, 25954302, 25954302, 25954302, 25954302, 25954302, 26792304, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26475376, 26475376, 25984852, 25820922, 25820922, 25820922, 25820922]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,5,meta-llama/Llama-3.1-8B,9,310,604829891,10493950795,9889120904,16513951,43316769,32819347,"[25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325840203, 26520888, 26520888, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 99536023, 24842869, 776031691, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 26109885, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25975594, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 26808618, 26349776, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 26133633, 25969703, 25969703, 25969703, 25969703, 25969703, 24996181, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25138869, 25138869, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 26151000, 25954302, 25954302, 25954302, 25954302, 25954302, 26792304, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26475376, 26475376, 25984852, 25820922, 25820922, 25820922, 25820922, 26491832]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,0,meta-llama/Llama-3.1-8B,85,501,46926808,11716176585,11669249777,0,29098963,28048556,"[24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 24319806, 26914221, 24481019, 24481019, 24481019, 24481019, 26797072, 24432469, 24432469, 24432469, 28547623, 26802818, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 25052199, 59242245, 25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 24833243, 24833243, 24833243, 24833243, 24833243, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 25003134, 26652050, 26520888, 26520888, 25040478, 25040478, 25040478, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 25089086, 24771925, 24771925, 24771925, 25220248, 24842869, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25160953, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25029791, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 25006799, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24842869, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 26109885, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25975594, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25116479, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 25081615, 24917685, 24917685, 24917685, 24917685, 24917685, 24917685, 26808618, 26349776, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 26133633, 25969703, 25969703, 25969703, 25969703, 25969703, 24996181, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25322687, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25138869, 25138869, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 26151000, 25954302, 25954302, 25954302, 25954302, 25954302, 26792304, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26475376, 26475376, 25984852, 25820922, 25820922, 25820922, 25820922, 26491832, 27238503, 26615821, 26615821, 26235158, 26235158, 26235158, 26464944, 25897854, 25897854, 25897854, 25985012, 25853850, 25853850, 25853850, 25853850, 25853850, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26017780, 25853850, 25969703, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,8,meta-llama/Llama-3.1-8B,920,1193,903845068,13883021181,12979176113,4263619,175981861,47070567,"[146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325840203, 26520888, 26520888, 2372085406, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 229513498, 976990418, 26349776, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 26133633, 25969703, 25969703, 25969703, 25969703, 25969703, 1079557793, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 26151000, 25954302, 25954302, 25954302, 25954302, 25954302, 26792304, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26475376, 26475376, 25984852, 25820922, 25820922, 25820922, 25820922, 26491832, 27238503, 26615821, 26615821, 26235158, 26235158, 26235158, 26464944, 25897854, 25897854, 25897854, 25985012, 25853850, 25853850, 25853850, 25853850, 25853850, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26017780, 25853850, 25969703, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925, 27513662, 26759908, 26759908, 26287926, 25668423, 25668423, 25668423, 25491349, 25491349, 25491349, 25491349, 25622511, 25491349, 25491349, 25491349, 25491349, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 25783855, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
0,7,meta-llama/Llama-3.1-8B,253,668,811936853,16492288042,15680351189,11575200,70817445,37704187,"[25354389, 171718242, 146422271, 25755166, 25755166, 25755166, 25755166, 25755166, 25755166, 27679889, 25802576, 25802576, 25802576, 25802576, 25802576, 25802576, 27579202, 27566604, 27529230, 285739312, 50600609, 30154385, 26822699, 29747880, 26844708, 93558915, 27059851, 27059851, 29019418, 190839741, 146937332, 63155925, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27764953, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27684411, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 27685307, 26520888, 325840203, 26520888, 26520888, 2372085406, 25782115, 25782115, 25782115, 25782115, 25782115, 25811664, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25442238, 25975594, 976990418, 26349776, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 25859550, 26133633, 25969703, 25969703, 25969703, 25969703, 25969703, 24996181, 253064294, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25160111, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 24996181, 25138869, 25138869, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25954302, 25954302, 25954302, 25954302, 25954302, 25954302, 26151000, 25954302, 25954302, 25954302, 25954302, 25954302, 26792304, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26235158, 26475376, 26475376, 25984852, 25820922, 25820922, 25820922, 25820922, 26491832, 27238503, 26615821, 26615821, 26235158, 26235158, 26235158, 26464944, 25897854, 25897854, 25897854, 25985012, 25853850, 25853850, 25853850, 25853850, 25853850, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26447349, 26017780, 25853850, 25969703, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925, 27513662, 26759908, 26759908, 26287926, 25668423, 25668423, 25668423, 25491349, 25491349, 25491349, 25491349, 25622511, 25491349, 25491349, 25491349, 25491349, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 26253855, 25783855, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25783855, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 25619925, 26166401, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 25969703, 27546213, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26726923, 26044318, 26675090, 26445624, 26445624, 26445624, 26445624, 26049543, 26049543, 26049543, 26049543, 25487317, 25487317, 25487317, 25487317, 25487317, 25487317, 25487317, 26279009, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26049543, 26326183, 26555649, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26326183, 26116084, 25853850, 25853850, 25853850, 25853850, 25853850, 25853850, 25853850, 26468245, 26468245, 26468245, 26468245]",0,0,0,NPU,0,0,0,0,0,0,1.0,hot,0,0,0,0,1.0,0
